schedule_family,scheduler,n_steps,dataset_group,size_group,scheduler_label,scheduler_variant_label,metric,metric_label,direction,mean,ci95,n
condmarg,entropic,5,All,All,Entropic,Entropic · cond-marg,plddt_mean,pLDDT,higher,97.45792131106059,0.18998138024838265,600
condmarg,entropic,5,All,All,Entropic,Entropic · cond-marg,diversity,Diversity,higher,3.40221031387647,0.29984766743101043,600
condmarg,entropic,5,All,All,Entropic,Entropic · cond-marg,rmsd_mean,Endpoint spread,higher,3.40221031387647,0.29984766743101043,600
condmarg,entropic,5,All,All,Entropic,Entropic · cond-marg,invalid_rate,Invalid rate,lower,0,0,600
condmarg,entropic,5,All,All,Entropic,Entropic · cond-marg,infer_seconds_per_output,Seconds/output,lower,3.8827785528996417,0.3848449647863342,600
condmarg,entropic,5,All,All,Entropic,Entropic · cond-marg,trajectory_plddt_mean_all_frames,Trajectory pLDDT,higher,87.84717422676086,0.7297623408357946,600
condmarg,entropic_log1p,5,All,All,Entropic-log1p,Entropic-log1p · cond-marg,plddt_mean,pLDDT,higher,94.47395291169484,0.38435972342124075,600
condmarg,entropic_log1p,5,All,All,Entropic-log1p,Entropic-log1p · cond-marg,diversity,Diversity,higher,7.363730009496212,0.47224685247512205,600
condmarg,entropic_log1p,5,All,All,Entropic-log1p,Entropic-log1p · cond-marg,rmsd_mean,Endpoint spread,higher,7.363730009496212,0.47224685247512205,600
condmarg,entropic_log1p,5,All,All,Entropic-log1p,Entropic-log1p · cond-marg,invalid_rate,Invalid rate,lower,0,0,600
condmarg,entropic_log1p,5,All,All,Entropic-log1p,Entropic-log1p · cond-marg,infer_seconds_per_output,Seconds/output,lower,3.8808554868599945,0.38453822539365506,600
condmarg,entropic_log1p,5,All,All,Entropic-log1p,Entropic-log1p · cond-marg,trajectory_plddt_mean_all_frames,Trajectory pLDDT,higher,87.00025683720908,0.7508924039713692,600
condmarg,entropic,10,All,All,Entropic,Entropic · cond-marg,plddt_mean,pLDDT,higher,87.62521876811981,0.8434683927398968,600
