id,model,scheduler,n_steps,mode,seed,domain,n_samples,infer_seconds,fid,fid_backend,fid_pixel,fid_inception,fid_inception_error,sample_mean,sample_std,scheduler_base,entropy_variant,entropy_mode,entropy_rate_source,entropy_seconds,sampling_seconds,sigma_lt_1_count,sigma_lt_0p1_count,sigma_max_jump,sigma_last_jump,rank_seed,experiment_path,dataset,dataset_path,batch_index,sample_name,seq_len,protein_size_bin,schedule_group,requested_entropy_mode,sample_index,infer_seconds_per_output,rmsd_mean,rmsd_std,diversity,plddt_mean,plddt_std,invalid_structures,n_outputs,entropy_curve_mode,tm_score,n_preds_tm,run_id
edm_linear_5_ode_heun_7,edm,linear,5,ode_heun,7,image,64.0,0.6924887355417013,196.5010412065976,clean-fid+pixel,0.2619433999061584,196.5010412065976,,-0.071455530822277,0.7937844395637512,linear,,,,0.0,0.6924887355417013,3.0,2.0,70.39100452814854,-0.0146510641480374,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_linear_10_ode_heun_314,edm,linear,10,ode_heun,314,image,64.0,0.525953290052712,171.05041234904488,clean-fid+pixel,0.009869972243905,171.05041234904488,,-0.0432840548455715,0.5552540421485901,linear,,,,0.0,0.525953290052712,6.0,4.0,52.27420627379414,-0.0037707996236288,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_cosine_5_ode_heun_42,edm,cosine,5,ode_heun,42,image,64.0,0.2498162351548671,233.74121684216044,clean-fid+pixel,0.4722590744495392,233.74121684216044,,-0.0210864152759313,0.897920548915863,cosine,,,,0.0,0.2498162351548671,3.0,3.0,50.468436843202014,-0.0038504790137986,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_cosine_10_ode_heun_2718,edm,cosine,10,ode_heun,2718,image,64.0,0.5260362420231104,174.1441688818864,clean-fid+pixel,0.0403148680925369,174.1441688818864,,-0.0770568028092384,0.6128672361373901,cosine,,,,0.0,0.5260362420231104,6.0,5.0,32.44370680376795,-0.0006881957717571,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_sigmoid_5_ode_heun_123,edm,sigmoid,5,ode_heun,123,image,64.0,0.2501418320462107,352.3840055345581,clean-fid+pixel,2.360808849334717,352.3840055345581,,-0.0725938156247139,1.3883626461029053,sigmoid,,,,0.0,0.2501418320462107,3.0,3.0,54.893352488844336,-0.0005858513432661,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_sigmoid_25_ode_heun_7,edm,sigmoid,25,ode_heun,7,image,64.0,1.3688720241189003,171.5296764431804,clean-fid+pixel,0.0047974158078432,171.5296764431804,,-0.0444197319447994,0.534233808517456,sigmoid,,,,0.0,1.3688720241189003,14.0,12.0,13.099075500722076,-3.2577603226483735e-05,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_entropic_5_ode_heun_314,edm,entropic,5,ode_heun,314,image,64.0,0.24976372346282,321.4473463755031,clean-fid+pixel,0.213878720998764,321.4473463755031,,-0.0447710901498794,0.2383603155612945,entropic,control,empirical_hutchinson,,0.0,0.24976372346282,1.0,1.0,19.328250283710062,-13.813612056596028,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_entropic_25_ode_heun_42,edm,entropic,25,ode_heun,42,image,64.0,1.3560199784114957,229.4868474125884,clean-fid+pixel,0.0125559531152248,229.4868474125884,,-0.0288331788033247,0.4412694275379181,entropic,control,empirical_hutchinson,,0.0,1.3560199784114957,1.0,1.0,4.304633940989135,-2.64250450335594,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_entropic_log1p_5_ode_heun_2718,edm,entropic_log1p,5,ode_heun,2718,image,64.0,0.249762250110507,188.04880549539044,clean-fid+pixel,0.1110934987664222,188.04880549539044,,-0.0847978517413139,0.6904588341712952,entropic,log1p,empirical_hutchinson,,0.0,0.249762250110507,3.0,2.0,61.41485988519842,-0.0494563314563352,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_entropic_log1p_25_ode_heun_123,edm,entropic_log1p,25,ode_heun,123,image,64.0,1.3558297408744693,169.37307014387704,clean-fid+pixel,0.0005278487806208,169.37307014387704,,-0.048340480774641,0.4912862181663513,entropic,log1p,empirical_hutchinson,,0.0,1.3558297408744693,12.0,7.0,19.735441185228822,-0.0015683303529238,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
