mode,scheduler,n_steps,scheduler_label,metric,metric_label,direction,mean,ci95,n
ode_heun,linear,5,Linear,fid_inception,Inception FID,lower,200.51645785742542,2.90878163341562,5
ode_heun,linear,5,Linear,fid_pixel,Pixel FID,lower,0.25644716024398795,0.032553240610360586,5
ode_heun,linear,5,Linear,fid,FID,lower,200.51645785742542,2.90878163341562,5
ode_heun,linear,5,Linear,infer_seconds,Seconds,lower,0.7313193842768669,0.020183034583275066,5
ode_heun,entropic,5,Entropic,fid_inception,Inception FID,lower,322.57768846423073,4.7978047362631955,5
ode_heun,entropic,5,Entropic,fid_pixel,Pixel FID,lower,0.18302852809429165,0.018641170136219014,5
ode_heun,entropic,5,Entropic,fid,FID,lower,322.57768846423073,4.7978047362631955,5
ode_heun,entropic,5,Entropic,infer_seconds,Seconds,lower,0.25028400886803864,0.0005667769434330626,5
ode_heun,entropic_log1p,5,Entropic-log1p,fid_inception,Inception FID,lower,186.2587390534575,3.9730651797606167,5
ode_heun,entropic_log1p,5,Entropic-log1p,fid_pixel,Pixel FID,lower,0.0821752861142158,0.01736703153336829,5
ode_heun,entropic_log1p,5,Entropic-log1p,fid,FID,lower,186.2587390534575,3.9730651797606167,5
ode_heun,entropic_log1p,5,Entropic-log1p,infer_seconds,Seconds,lower,0.2500794906169176,0.0002687294345386349,5
ode_heun,cosine,5,Cosine,fid_inception,Inception FID,lower,238.0319955827318,5.293147602201997,5
ode_heun,cosine,5,Cosine,fid_pixel,Pixel FID,lower,0.4204652488231659,0.03349093503408662,5
ode_heun,cosine,5,Cosine,fid,FID,lower,238.0319955827318,5.293147602201997,5
ode_heun,cosine,5,Cosine,infer_seconds,Seconds,lower,0.2504878275096416,0.001740828876898824,5
ode_heun,sigmoid,5,Sigmoid,fid_inception,Inception FID,lower,355.0631614248795,2.197852117838632,5
ode_heun,sigmoid,5,Sigmoid,fid_pixel,Pixel FID,lower,2.722619724273682,0.34131314600436835,5
ode_heun,sigmoid,5,Sigmoid,fid,FID,lower,355.0631614248795,2.197852117838632,5
ode_heun,sigmoid,5,Sigmoid,infer_seconds,Seconds,lower,0.25071172192692753,0.0009305760067978178,5
ode_heun,power_2,5,Power-2,fid_inception,Inception FID,lower,316.53925812413405,2.684511520286137,5
ode_heun,power_2,5,Power-2,fid_pixel,Pixel FID,lower,16.32612762451172,2.484009591368822,5
ode_heun,power_2,5,Power-2,fid,FID,lower,316.53925812413405,2.684511520286137,5
ode_heun,power_2,5,Power-2,infer_seconds,Seconds,lower,0.24999742861837143,0.0005268520899224487,5
ode_heun,linear,10,Linear,fid_inception,Inception FID,lower,172.77509673422745,2.8348013617019223,5
ode_heun,linear,10,Linear,fid_pixel,Pixel FID,lower,0.017544019781053022,0.007540048328512007,5
ode_heun,linear,10,Linear,fid,FID,lower,172.77509673422745,2.8348013617019223,5
ode_heun,linear,10,Linear,infer_seconds,Seconds,lower,0.800842217169702,0.22076932069571453,5
ode_heun,entropic,10,Entropic,fid_inception,Inception FID,lower,290.1091443911672,4.9446502655291695,5
ode_heun,entropic,10,Entropic,fid_pixel,Pixel FID,lower,0.07934942394495006,0.014763888865745497,5
ode_heun,entropic,10,Entropic,fid,FID,lower,290.1091443911672,4.9446502655291695,5
ode_heun,entropic,10,Entropic,infer_seconds,Seconds,lower,0.5257211675867438,0.0014350093923851152,5
