dataset,sample_name,seq_len,protein_size,scheduler,estimator,n_steps,mode,seed,conformer_index,step_index,n_step_frames,generation_t,alphaflow_t,entropy_curve_mode,structure_source,aligned_rmsd_to_first,aligned_step_rmsd,max_residue_displacement_to_first,deformation_amplification,pdb_path
atlas_test.strict_ready,6q9c_B,418,long protein (>400 aa),entropic,cond_marg,5,ode_heun,7,0,0,4,0.0,1.0,conditional_minus_marginal,run41_condmarg_saved_structure_with_cond_marg_schedule_times,8.329810421296941e-15,8.329810421296941e-15,1.798424230098713e-14,6.0,results/run41_rebuttal/exp_05_alphaflow_atlas_test_large_condmarg/structures/atlas_test.strict_ready/6q9c_B/entropic_5_ode_heun_seed7/conf_0.pdb
atlas_test.strict_ready,6q9c_B,418,long protein (>400 aa),entropic,cond_marg,5,ode_heun,7,0,1,4,0.3333333333333333,0.973769840042272,conditional_minus_marginal,run41_condmarg_saved_structure_with_cond_marg_schedule_times,1.7967594269300602,1.7967594269300589,12.889400854044315,6.0,results/run41_rebuttal/exp_05_alphaflow_atlas_test_large_condmarg/structures/atlas_test.strict_ready/6q9c_B/entropic_5_ode_heun_seed7/conf_1.pdb
atlas_test.strict_ready,6q9c_B,418,long protein (>400 aa),entropic,cond_marg,5,ode_heun,7,0,2,4,0.6666666666666666,0.4823238121768983,conditional_minus_marginal,run41_condmarg_saved_structure_with_cond_marg_schedule_times,1.6828016540877992,0.5768956803638972,10.870832660288714,6.0,results/run41_rebuttal/exp_05_alphaflow_atlas_test_large_condmarg/structures/atlas_test.strict_ready/6q9c_B/entropic_5_ode_heun_seed7/conf_2.pdb
atlas_test.strict_ready,6q9c_B,418,long protein (>400 aa),entropic,cond_marg,5,ode_heun,7,0,3,4,1.0,0.0,conditional_minus_marginal,run41_condmarg_saved_structure_with_cond_marg_schedule_times,1.7500469198780315,0.4238837089563294,11.526619197392222,6.0,results/run41_rebuttal/exp_05_alphaflow_atlas_test_large_condmarg/structures/atlas_test.strict_ready/6q9c_B/entropic_5_ode_heun_seed7/conf_3.pdb
atlas_test.strict_ready,6tgk_C,105,medium protein (51-400 aa),entropic,cond_marg,5,ode_heun,7,0,0,4,0.0,1.0,conditional_minus_marginal,run41_condmarg_saved_structure_with_cond_marg_schedule_times,3.481685005577588e-15,3.481685005577588e-15,6.408593517931132e-15,6.0,results/run41_rebuttal/exp_05_alphaflow_atlas_test_medium_condmarg/structures/atlas_test.strict_ready/6tgk_C/entropic_5_ode_heun_seed7/conf_0.pdb
atlas_test.strict_ready,6tgk_C,105,medium protein (51-400 aa),entropic,cond_marg,5,ode_heun,7,0,1,4,0.3333333333333333,0.973769840042272,conditional_minus_marginal,run41_condmarg_saved_structure_with_cond_marg_schedule_times,0.20766919986147905,0.2076691998614788,1.0952198567526146,6.0,results/run41_rebuttal/exp_05_alphaflow_atlas_test_medium_condmarg/structures/atlas_test.strict_ready/6tgk_C/entropic_5_ode_heun_seed7/conf_1.pdb
atlas_test.strict_ready,6tgk_C,105,medium protein (51-400 aa),entropic,cond_marg,5,ode_heun,7,0,2,4,0.6666666666666666,0.4823238121768983,conditional_minus_marginal,run41_condmarg_saved_structure_with_cond_marg_schedule_times,0.21860912497500842,0.22253863013279326,0.9017984873444722,6.0,results/run41_rebuttal/exp_05_alphaflow_atlas_test_medium_condmarg/structures/atlas_test.strict_ready/6tgk_C/entropic_5_ode_heun_seed7/conf_2.pdb
atlas_test.strict_ready,6tgk_C,105,medium protein (51-400 aa),entropic,cond_marg,5,ode_heun,7,0,3,4,1.0,0.0,conditional_minus_marginal,run41_condmarg_saved_structure_with_cond_marg_schedule_times,0.31544364347040293,0.2101444629901722,1.2366510537698976,6.0,results/run41_rebuttal/exp_05_alphaflow_atlas_test_medium_condmarg/structures/atlas_test.strict_ready/6tgk_C/entropic_5_ode_heun_seed7/conf_3.pdb
atlas_test.strict_ready,7lp1_A,39,short protein (<=50 aa),entropic,cond_marg,5,ode_heun,7,0,0,4,0.0,1.0,conditional_minus_marginal,run41_condmarg_saved_structure_with_cond_marg_schedule_times,3.476741135719387e-15,3.476741135719387e-15,5.725996103146448e-15,6.0,results/run41_rebuttal/exp_05_alphaflow_atlas_test_short_condmarg/structures/atlas_test.strict_ready/7lp1_A/entropic_5_ode_heun_seed7/conf_0.pdb
atlas_test.strict_ready,7lp1_A,39,short protein (<=50 aa),entropic,cond_marg,5,ode_heun,7,0,1,4,0.3333333333333333,0.973769840042272,conditional_minus_marginal,run41_condmarg_saved_structure_with_cond_marg_schedule_times,0.5187382991243177,0.5187382991243182,1.4537288106106434,6.0,results/run41_rebuttal/exp_05_alphaflow_atlas_test_short_condmarg/structures/atlas_test.strict_ready/7lp1_A/entropic_5_ode_heun_seed7/conf_1.pdb
