source_run,source_file,schedule_family,dataset_group,size_group,dataset,sample_name,sample_index,seq_len,scheduler,n_steps,seed,requested_entropy_mode,plddt_mean,diversity,rmsd_mean,invalid_rate,invalid_structures,infer_seconds_per_output,infer_seconds_per_model_output,trajectory_plddt_mean_all_frames,n_outputs,n_endpoint_outputs
run41_rebuttal,results/run41_rebuttal/exp_05_alphaflow_atlas_test_large_condmarg/metrics.rank0.csv,condmarg,ATLAS,Large,atlas_test.strict_ready,6q9c_B,4,418,entropic,5,7,conditional_minus_marginal,98.55683898925781,1.3282378911972046,1.3282378911972046,0.0,0.0,6.740015609655529,1.348003121931106,92.92251319885254,20.0,4.0
run41_rebuttal,results/run41_rebuttal/exp_05_alphaflow_atlas_test_large_condmarg/metrics.rank0.csv,condmarg,ATLAS,Large,atlas_test.strict_ready,6q9c_B,4,418,entropic,10,314,conditional_minus_marginal,93.20603942871094,0.7746567130088806,0.7746567130088806,0.0,0.0,13.438556705135852,1.3438556705135851,92.90442790985108,40.0,4.0
run41_rebuttal,results/run41_rebuttal/exp_05_alphaflow_atlas_test_large_condmarg/metrics.rank0.csv,condmarg,ATLAS,Large,atlas_test.strict_ready,6q9c_B,4,418,entropic_log1p,5,42,conditional_minus_marginal,96.26175308227539,4.384593486785889,4.384593486785889,0.0,0.0,6.7202364462427795,1.344047289248556,91.78565711975098,20.0,4.0
run41_rebuttal,results/run41_rebuttal/exp_05_alphaflow_atlas_test_large_condmarg/metrics.rank0.csv,condmarg,ATLAS,Large,atlas_test.strict_ready,6q9c_B,4,418,entropic_log1p,10,2718,conditional_minus_marginal,96.96866607666016,3.2228190898895264,3.2228190898895264,0.0,0.0,13.46291287522763,1.346291287522763,92.71135921478272,40.0,4.0
run41_rebuttal,results/run41_rebuttal/exp_05_alphaflow_atlas_test_large_condmarg/metrics.rank0.csv,condmarg,ATLAS,Large,atlas_test.strict_ready,7asg_A,7,594,entropic,5,123,conditional_minus_marginal,98.44410133361816,2.233633518218994,2.233633518218994,0.0,0.0,16.76946619292721,3.3538932385854423,92.44906272888184,20.0,4.0
run41_rebuttal,results/run41_rebuttal/exp_05_alphaflow_atlas_test_large_condmarg/metrics.rank0.csv,condmarg,ATLAS,Large,atlas_test.strict_ready,7asg_A,7,594,entropic,25,7,conditional_minus_marginal,91.31777381896973,1.0768134593963623,1.0768134593963623,0.0,0.0,83.76012129569426,3.3504048518277703,91.8997755432129,100.0,4.0
run41_rebuttal,results/run41_rebuttal/exp_05_alphaflow_atlas_test_large_condmarg/metrics.rank0.csv,condmarg,ATLAS,Large,atlas_test.strict_ready,7asg_A,7,594,entropic_log1p,5,314,conditional_minus_marginal,96.56882095336914,9.246569633483887,9.246569633483887,0.0,0.0,16.77006569178775,3.35401313835755,91.80655097961426,20.0,4.0
run41_rebuttal,results/run41_rebuttal/exp_05_alphaflow_atlas_test_large_condmarg/metrics.rank0.csv,condmarg,ATLAS,Large,atlas_test.strict_ready,7asg_A,7,594,entropic_log1p,25,42,conditional_minus_marginal,96.16854667663574,7.108625411987305,7.108625411987305,0.0,0.0,83.73364602634683,3.3493458410538732,91.95325904846192,100.0,4.0
run41_rebuttal,results/run41_rebuttal/exp_05_alphaflow_atlas_test_large_condmarg/metrics.rank0.csv,condmarg,ATLAS,Large,atlas_test.strict_ready,6p5x_B,21,457,entropic,5,2718,conditional_minus_marginal,98.79253196716309,4.168334484100342,4.168334484100342,0.0,0.0,8.251416992396116,1.6502833984792233,94.91582145690919,20.0,4.0
run41_rebuttal,results/run41_rebuttal/exp_05_alphaflow_atlas_test_large_condmarg/metrics.rank0.csv,condmarg,ATLAS,Large,atlas_test.strict_ready,6p5x_B,21,457,entropic,25,123,conditional_minus_marginal,93.32226943969727,0.25509506464004517,0.25509506464004517,0.0,0.0,41.258875702973455,1.6503550281189383,94.14394500732422,100.0,4.0
run41_rebuttal,results/run41_rebuttal/exp_05_alphaflow_atlas_test_large_condmarg/metrics.rank0.csv,condmarg,ATLAS,Large,atlas_test.strict_ready,6p5x_B,21,457,entropic_log1p,10,7,conditional_minus_marginal,97.7760124206543,34.54156494140625,34.54156494140625,0.0,0.0,16.485644686967134,1.6485644686967134,94.81008110046386,40.0,4.0
run41_rebuttal,results/run41_rebuttal/exp_05_alphaflow_atlas_test_large_condmarg/metrics.rank0.csv,condmarg,ATLAS,Large,atlas_test.strict_ready,6p5x_B,21,457,entropic_log1p,25,314,conditional_minus_marginal,96.75125694274902,6.723479747772217,6.723479747772217,0.0,0.0,41.190982713364065,1.6476393085345626,94.08152297973633,100.0,4.0
